timesteps,ep_rew_mean,ep_len_mean
2048,-235.1219512195122,49.46341463414634
4096,-229.5731707317073,49.573170731707314
6144,-234.25,49.85
8192,-239.5,49.9
10240,-244.6,49.92
12288,-239.55,49.91
14336,-238.75,49.75
16384,-238.75,49.75
18432,-232.05,49.41
20480,-232.45,49.49
22528,-210.75,49.15
24576,-212.3,49.46
26624,-190.85,49.17
28672,-180.85,49.17
30720,-196.7,49.34
32768,-196.25,49.25
34816,-195.8,49.16
36864,-217.35,49.47
38912,-212.5,49.5
40960,-179.45,48.89
43008,-189.35,48.87
45056,-205.7,49.14
47104,-228.0,49.6
49152,-228.4,49.68
51200,-234.0,49.8
53248,-228.3,49.66
55296,-223.25,49.65
57344,-206.3,49.26
59392,-195.8,49.16
61440,-173.15,48.63
63488,-196.65,49.33
65536,-200.4,49.08
67584,-173.7,48.74
69632,-178.9,48.78
71680,-190.9,49.18
73728,-206.25,49.25
75776,-187.35,48.47
77824,-181.45,48.29
79872,-186.75,48.35
81920,-145.55,47.11
83968,-95.55,46.11
86016,-93.25,46.65
88064,-128.35,47.67
90112,-108.65,47.73
92160,-113.85,47.77
94208,-92.0,46.4
96256,-30.4,45.08
98304,-39.05,45.81
100352,-43.5,45.7
102400,-55.8,46.16
104448,-32.2,45.44
106496,4.6,45.08
108544,51.1,43.78
110592,45.95,42.81
112640,-6.85,44.37
114688,6.9,44.62
116736,-3.65,44.73
118784,-14.05,44.81
120832,-3.3,43.66
122880,23.85,43.23
124928,36.25,43.75
126976,-3.85,44.77
129024,-38.75,44.75
131072,43.3,42.34
133120,81.45,41.71
135168,101.05,40.79
137216,105.45,40.91
139264,118.3,41.34
141312,103.0,41.4
143360,155.85,38.83
145408,166.45,37.71
147456,220.0,36.0
149504,272.2,34.56
151552,254.4,35.12
153600,242.95,35.41
155648,238.75,35.25
157696,214.9,37.02
159744,240.0,36.0
161792,272.65,33.47
163840,253.5,34.3
165888,263.95,33.21
167936,310.75,31.85
169984,295.55,31.89
172032,304.5,31.1
174080,334.3,31.14
176128,334.9,31.02
178176,332.35,29.53
180224,333.5,30.3
182272,346.25,28.75
184320,353.1,28.38
186368,339.1,29.18
188416,336.4,28.72
190464,355.25,27.95
192512,363.15,26.37
194560,372.75,25.45
196608,375.05,24.99
198656,378.35,24.33
200704,383.95,23.21
